ID,Bank branch,Funding type,Funding classification,Customer sector,Funding value,Installement value,Exchange date,Gender,Age,Social status,Special needs,Family members,Saving loan,Income
5689,Al Qunfudhah,Social,Marriage,Private sector employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 5000
5690,Al Qunfudhah,Social,Marriage,NULL,60000,< 1000,2019/03,Male,< 30,Married,No,>= 02,No,< 5000
5691,Al Qunfudhah,Social,Marriage,NULL,60000,< 1000,2019/03,Male,< 30,Married,No,>= 02,No,>= 10000
5692,Al Qunfudhah,Social,Marriage,NULL,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,< 5000
5693,Al Qunfudhah,Social,Marriage,NULL,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 10000
5694,Al Qunfudhah,Social,Marriage,NULL,60000,< 1000,2019/02,Male,< 30,Married,No,>= 02,No,< 5000
5695,Al Qunfudhah,Social,Marriage,NULL,60000,< 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 5000
5696,Riyadh,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
5697,Al Qunfudhah,Social,Family,Government employee,60000,>= 1000,2019/03,Male,>= 40,Married,No,>= 10,No,>= 10000
5698,Al Qunfudhah,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
5699,Al Qunfudhah,Social,Family,NULL,60000,>= 1000,2019/01,Male,>= 60,Married,No,>= 02,No,< 5000
5700,Al Qunfudhah,Social,Family,NULL,60000,>= 1000,2019/01,Male,>= 60,Married,No,>= 02,No,>= 10000
5701,Al Qunfudhah,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
5702,Al Qunfudhah,Social,Marriage,NULL,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,< 5000
5703,Al Qunfudhah,Social,Marriage,NULL,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 10000
5704,Al Qunfudhah,Social,Family,NULL,60000,>= 1000,2019/03,Female,>= 30,Widow,No,>= 02,No,< 5000
5705,Al Qunfudhah,Social,Family,NULL,60000,>= 1000,2019/03,Female,>= 30,Widow,No,>= 02,No,>= 10000
5706,Al Qunfudhah,Social,Marriage,NULL,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 10000
5707,Al Qunfudhah,Social,Marriage,NULL,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,< 5000
5708,Al Qunfudhah,Social,Family,NULL,42000,< 1000,2019/02,Male,>= 60,Married,No,>= 02,No,< 5000
5709,Al Qunfudhah,Social,Family,NULL,42000,< 1000,2019/02,Male,>= 60,Married,No,>= 02,No,>= 10000
5710,Al Qunfudhah,Social,Marriage,NULL,24000,< 1000,2019/02,Male,>= 40,Married,No,>= 02,No,< 5000
5711,Al Qunfudhah,Social,Marriage,NULL,24000,< 1000,2019/02,Male,>= 40,Married,No,>= 02,No,>= 10000
5712,Al Qunfudhah,Social,Marriage,Government employee,60000,< 1000,2019/01,Male,>= 30,Married,No,>= 02,No,>= 5000
5713,Al Qunfudhah,Social,Family,NULL,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 05,No,>= 10000
5714,Al Qunfudhah,Social,Family,NULL,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 05,No,< 5000
5715,Al Qunfudhah,Social,Marriage,NULL,36000,< 1000,2019/01,Male,>= 30,Married,No,>= 02,No,>= 5000
5716,Al Qunfudhah,Social,Marriage,NULL,36000,< 1000,2019/01,Male,>= 30,Married,No,>= 02,No,< 5000
5717,Al Qunfudhah,Social,Marriage,NULL,30000,< 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 10000
5718,Al Qunfudhah,Social,Marriage,NULL,30000,< 1000,2019/02,Male,< 30,Married,No,>= 02,No,< 5000
5719,Al Qunfudhah,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
5720,Al Qunfudhah,Project,Emerging,NULL,80000,< 1000,2019/01,Male,< 30,Single,No,< 02,No,< 5000
5721,Al Qunfudhah,Project,Emerging,NULL,191000,>= 1000,2019/01,Male,>= 30,Married,No,< 02,No,< 5000
5722,Al Qunfudhah,Social,Family,NULL,60000,>= 1000,2019/03,Male,>= 40,Married,No,>= 05,No,< 5000
5723,Al Qunfudhah,Social,Family,NULL,60000,>= 1000,2019/03,Male,>= 40,Married,No,>= 05,No,>= 10000
5724,Al Qunfudhah,Social,Marriage,NULL,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 02,No,< 5000
5725,Al Qunfudhah,Social,Marriage,NULL,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 02,No,>= 7500
5726,Al Qunfudhah,Social,Marriage,Government employee,24000,< 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 7500
5727,Al Qunfudhah,Social,Family,NULL,60000,< 1000,2019/01,Female,>= 40,Widow,No,>= 10,No,< 5000
5728,Al Qunfudhah,Social,Family,NULL,60000,< 1000,2019/01,Female,>= 40,Widow,No,>= 10,No,>= 7500
5729,Al Qunfudhah,Project,Emerging,NULL,200000,>= 1000,2019/01,Male,< 30,Single,No,< 02,No,< 5000
5730,Al Qunfudhah,Social,Marriage,Private sector employee,60000,>= 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 10000
5731,Al Qunfudhah,Social,Marriage,Private sector employee,60000,>= 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 5000
5732,Riyadh,Social,Family,Government employee,60000,>= 1000,2019/01,Male,>= 40,Married,No,>= 05,No,>= 7500
5733,Al Qunfudhah,Social,Marriage,NULL,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,< 5000
5734,Al Qunfudhah,Social,Marriage,NULL,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 10000
5735,Al Qunfudhah,Social,Family,NULL,24000,< 1000,2019/01,Male,>= 60,Married,No,>= 05,Yes,>= 10000
5736,Al Qunfudhah,Social,Family,NULL,24000,< 1000,2019/01,Male,>= 60,Married,No,>= 05,Yes,< 5000
5737,Al Qunfudhah,Social,Family,NULL,60000,>= 1000,2019/02,Female,>= 60,Widow,No,>= 05,No,>= 10000
5738,Al Qunfudhah,Social,Family,NULL,60000,>= 1000,2019/02,Female,>= 60,Widow,No,>= 05,No,< 5000
5739,Al Qunfudhah,Social,Marriage,NULL,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 05,No,< 5000
5740,Al Qunfudhah,Social,Marriage,NULL,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 05,No,>= 10000
5741,Buraydah,Social,Family,Private sector employee,42000,< 1000,2019/02,Male,>= 60,Married,No,>= 05,Yes,< 5000
5742,Buraydah,Social,Family,Private sector employee,42000,< 1000,2019/02,Male,>= 60,Married,No,>= 05,Yes,>= 7500
5743,Al Qunfudhah,Social,Marriage,Government employee,54000,< 1000,2019/03,Male,< 30,Married,No,>= 02,No,>= 5000
5744,Al Qunfudhah,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
5745,Al Qunfudhah,Project,Emerging,NULL,73000,< 1000,2019/01,Male,< 30,Single,No,< 02,No,< 5000
5746,Al Qunfudhah,Social,Marriage,Private sector employee,42000,< 1000,2019/02,Male,>= 30,Married,No,>= 02,No,>= 10000
5747,Al Qunfudhah,Social,Marriage,NULL,42000,< 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 10000
5748,Al Qunfudhah,Social,Marriage,NULL,42000,< 1000,2019/01,Male,< 30,Married,No,>= 02,No,< 5000
5749,Al Qunfudhah,Social,Marriage,NULL,60000,>= 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 10000
5750,Al Qunfudhah,Social,Marriage,NULL,60000,>= 1000,2019/01,Male,< 30,Married,No,>= 02,No,< 5000
5751,Al Qunfudhah,Social,Marriage,Private sector employee,42000,< 1000,2019/02,Male,>= 30,Married,No,>= 02,No,< 5000
5752,Al Qunfudhah,Social,Marriage,Private sector employee,60000,< 1000,2019/01,Male,< 30,Married,No,>= 02,No,< 5000
5753,Al Qunfudhah,Social,Marriage,Private sector employee,60000,< 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 5000
5754,Al Qunfudhah,Project,Solution,NULL,137000,>= 1000,2019/03,Female,>= 30,Married,No,< 02,No,< 5000
5755,Al Qunfudhah,Project,Emerging,NULL,200000,>= 1000,2019/02,Male,>= 40,Married,No,,No,
5756,Al Qunfudhah,Social,Family,NULL,60000,< 1000,2019/01,Female,>= 40,Widow,No,>= 10,No,< 5000
5757,Al Qunfudhah,Social,Family,NULL,60000,< 1000,2019/01,Female,>= 40,Widow,No,>= 10,No,>= 10000
5758,Jeddah,Social,Marriage,Government employee,30000,< 1000,2019/02,Male,>= 30,Married,No,>= 02,Yes,>= 7500
5759,Al Qunfudhah,Project,Solution,NULL,174000,>= 1000,2019/01,Male,< 30,Single,No,< 02,No,< 5000
5760,Al Qunfudhah,Social,Family,NULL,60000,>= 1000,2019/01,Female,>= 30,Widow,No,>= 02,No,< 5000
5761,Al Qunfudhah,Social,Family,NULL,60000,>= 1000,2019/01,Female,>= 30,Widow,No,>= 02,No,>= 10000
5762,Al Qunfudhah,Social,Marriage,NULL,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 10000
5763,Al Qunfudhah,Social,Marriage,NULL,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,< 5000
5764,Riyadh,Social,Family,Government employee,60000,>= 1000,2019/01,Male,>= 40,Married,No,>= 05,No,>= 10000
5765,Jeddah,Social,Marriage,Private sector employee,60000,>= 1000,2019/01,Male,>= 30,Married,No,>= 02,No,>= 10000
5766,Jeddah,Social,Marriage,Private sector employee,60000,>= 1000,2019/01,Male,>= 30,Married,No,>= 02,No,>= 5000
5767,Al Qunfudhah,Social,Marriage,NULL,30000,< 1000,2019/01,Male,< 30,Married,No,>= 02,No,< 5000
5768,Al Qunfudhah,Social,Marriage,NULL,30000,< 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 10000
5769,Al Qunfudhah,Social,Family,Government employee,60000,< 1000,2019/01,Male,>= 40,Married,No,>= 02,No,>= 5000
5770,Al Qunfudhah,Social,Family,NULL,18000,< 1000,2019/01,Female,>= 40,Widow,No,>= 02,No,< 5000
5771,Al Qunfudhah,Social,Family,NULL,18000,< 1000,2019/01,Female,>= 40,Widow,No,>= 02,No,>= 5000
5772,Al Qunfudhah,Social,Family,Government retired,60000,< 1000,2019/02,Male,>= 40,Married,No,>= 05,No,>= 10000
5773,Al Qunfudhah,Social,Family,Government retired,60000,< 1000,2019/02,Male,>= 40,Married,No,>= 05,No,< 5000
5774,Al Qunfudhah,Project,Emerging,NULL,146000,>= 1000,2019/03,Female,>= 30,Married,No,< 02,No,< 5000
5775,Riyadh,Social,Family,Government employee,60000,>= 1000,2019/01,Male,>= 30,Married,No,>= 05,No,>= 5000
5776,Al Qunfudhah,Social,Marriage,NULL,60000,< 1000,2019/01,Male,< 30,Married,No,>= 02,No,< 5000
5777,Al Qunfudhah,Social,Marriage,NULL,60000,< 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 10000
5778,Jeddah,Social,Marriage,Government employee,60000,>= 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 7500
5779,Riyadh,Project,Emerging,NULL,186000,>= 1000,2019/01,Male,>= 40,Married,No,< 02,No,< 5000
5780,Al Qunfudhah,Project,Fresh graduate,Private sector employee,182000,>= 1000,2019/01,Female,>= 40,Divorced,No,< 02,No,< 5000
5781,Riyadh,Social,Family,Government employee,24000,< 1000,2019/02,Male,>= 30,Married,No,>= 05,No,>= 10000
5782,Riyadh,Social,Family,Government employee,36000,< 1000,2019/02,Male,>= 30,Married,No,>= 05,No,>= 10000
5783,Al Qunfudhah,Social,Marriage,NULL,60000,< 1000,2019/02,Male,< 30,Married,No,>= 02,No,< 5000
5784,Al Qunfudhah,Social,Marriage,NULL,60000,< 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 10000
5785,Al Qunfudhah,Social,Family,NULL,60000,>= 1000,2019/03,Female,>= 40,Widow,No,>= 05,No,>= 10000
5786,Al Qunfudhah,Social,Family,NULL,60000,>= 1000,2019/03,Female,>= 40,Widow,No,>= 05,No,< 5000
5787,Al Qunfudhah,Social,Family,NULL,60000,>= 1000,2019/02,Male,>= 40,Married,No,>= 10,No,< 5000
5788,Al Qunfudhah,Social,Family,NULL,60000,>= 1000,2019/02,Male,>= 40,Married,No,>= 10,No,>= 10000
5789,Al Qunfudhah,Social,Family,NULL,60000,>= 1000,2019/02,Male,>= 40,Married,No,>= 10,No,>= 7500
5790,Al Qunfudhah,Social,Marriage,NULL,60000,< 1000,2019/02,Male,< 30,Married,No,>= 02,No,< 5000
5791,Al Qunfudhah,Social,Marriage,NULL,60000,< 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 10000
5792,Buraydah,Project,Emerging,NULL,181000,< 1000,2019/01,Male,< 30,Single,No,< 02,No,< 5000
5793,Jeddah,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
5794,Al Qunfudhah,Social,Family,NULL,36000,< 1000,2019/03,Male,>= 40,Married,No,>= 10,No,< 5000
5795,Al Qunfudhah,Social,Family,NULL,36000,< 1000,2019/03,Male,>= 40,Married,No,>= 10,No,>= 7500
5796,Al Qunfudhah,Social,Family,NULL,60000,< 1000,2019/01,Female,>= 40,Widow,No,>= 02,No,>= 10000
5797,Al Qunfudhah,Social,Family,NULL,60000,< 1000,2019/01,Female,>= 40,Widow,No,>= 02,No,< 5000
5798,Al Qunfudhah,Social,Marriage,Private sector employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 5000
5799,Al Qunfudhah,Social,Marriage,Private sector employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 10000
5800,Al Qunfudhah,Social,Marriage,Private sector employee,60000,< 1000,2019/01,Male,>= 30,Married,No,>= 02,No,< 5000
5801,Al Qunfudhah,Social,Marriage,Private sector employee,60000,< 1000,2019/01,Male,>= 30,Married,No,>= 02,No,>= 10000
5802,Riyadh,Social,Family,Government employee,60000,>= 1000,2019/02,Male,,Married,No,>= 05,No,
5803,Buraydah,Project,Emerging,NULL,215000,< 1000,2019/02,Male,>= 40,Married,No,< 02,No,< 5000
5804,Al Qunfudhah,Social,Marriage,Private sector employee,60000,< 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 7500
5805,Al Qunfudhah,Social,Marriage,Private sector employee,60000,< 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 5000
5806,Al Qunfudhah,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 02,No,>= 7500
5807,Jeddah,Social,Marriage,Government employee,60000,>= 1000,2019/01,Male,>= 40,Married,No,>= 02,No,>= 10000
5808,Arar,Social,Marriage,Government employee,18000,< 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
5809,Riyadh,Project,Solution,NULL,191000,>= 1000,2019/02,Male,>= 30,Married,No,< 02,No,< 5000
5810,Riyadh,Social,Family,Government employee,24000,< 1000,2019/03,Male,>= 40,Married,No,>= 05,No,>= 10000
5811,Al Qunfudhah,Social,Family,NULL,60000,< 1000,2019/01,Male,< 30,Married,No,>= 02,No,< 5000
5812,Al Qunfudhah,Social,Family,NULL,60000,< 1000,2019/01,Male,< 30,Married,No,>= 02,No,< 5000
5813,Al Qunfudhah,Social,Marriage,Private sector employee,60000,< 1000,2019/01,Male,>= 30,Married,No,>= 02,No,>= 7500
5814,Al Qunfudhah,Social,Marriage,Private sector employee,60000,< 1000,2019/01,Male,>= 30,Married,No,>= 02,No,>= 10000
5815,Al Qunfudhah,Social,Family,Government employee,24000,< 1000,2019/02,Male,>= 30,Married,No,>= 02,No,>= 5000
5816,Jeddah,Social,Family,NULL,18000,< 1000,2019/03,Female,>= 30,Divorced,No,>= 02,No,< 5000
5817,Jeddah,Social,Family,NULL,18000,< 1000,2019/03,Female,>= 30,Divorced,No,>= 02,No,>= 10000
5818,Riyadh,Social,Family,NULL,24000,< 1000,2019/01,Male,>= 40,Married,No,>= 10,No,>= 10000
5819,Riyadh,Social,Family,NULL,24000,< 1000,2019/01,Male,>= 40,Married,No,>= 10,No,< 5000
5820,Al Qunfudhah,Social,Family,NULL,48000,< 1000,2019/01,Male,>= 60,Married,No,>= 10,No,< 5000
5821,Al Qunfudhah,Social,Family,NULL,48000,< 1000,2019/01,Male,>= 60,Married,No,>= 10,No,>= 5000
5822,Riyadh,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 02,No,>= 7500
5823,Al Qunfudhah,Social,Marriage,Government employee,60000,>= 1000,2019/01,Male,>= 30,Married,No,>= 02,Yes,>= 7500
5824,Al Qunfudhah,Social,Marriage,Private sector employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
5825,Al Qunfudhah,Social,Marriage,Private sector employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 10000
5826,Arar,Social,Marriage,Government employee,18000,< 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
5827,Jeddah,Project,Telecom,NULL,170000,>= 1000,2019/03,Male,< 30,Single,No,< 02,No,< 5000
5828,Riyadh,Social,Marriage,Private sector employee,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 02,Yes,< 5000
5829,Riyadh,Social,Marriage,Private sector employee,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 02,Yes,>= 10000
5830,Al Qunfudhah,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,>= 7500
5831,Jeddah,Social,Marriage,Private sector employee,24000,< 1000,2019/01,Male,>= 30,Married,No,>= 02,Yes,>= 10000
5832,Jeddah,Social,Marriage,Private sector employee,24000,< 1000,2019/01,Male,>= 30,Married,No,>= 02,Yes,>= 5000
5833,Riyadh,Social,Family,Government employee,60000,< 1000,2019/01,Male,>= 40,Married,No,>= 05,No,>= 10000
5834,Riyadh,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 02,No,>= 7500
5835,Buraydah,Project,Emerging,NULL,245000,>= 1000,2019/02,Female,< 30,Single,No,< 02,No,< 5000
5836,Jeddah,Project,Emerging,NULL,155000,>= 1000,2019/01,Male,< 30,Married,No,< 02,No,< 5000
5837,Arar,Project,Solution,NULL,215000,>= 1000,2019/02,Male,< 30,Single,No,< 02,No,< 5000
5838,Riyadh,Social,Family,Government employee,60000,< 1000,2019/03,Male,< 30,Single,No,>= 05,No,>= 7500
5839,Riyadh,Social,Family,Government employee,60000,>= 1000,2019/01,Male,>= 40,Married,No,>= 05,No,>= 5000
5840,Riyadh,Social,Family,Government retired,60000,< 1000,2019/01,Male,>= 40,Married,No,>= 05,No,>= 7500
5841,Buraydah,Social,Marriage,NULL,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 02,No,< 5000
5842,Buraydah,Social,Marriage,NULL,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 02,No,>= 7500
5843,Riyadh,Social,Family,NULL,60000,>= 1000,2019/02,Male,>= 60,Married,No,>= 10,No,< 5000
5844,Riyadh,Social,Family,NULL,60000,>= 1000,2019/02,Male,>= 60,Married,No,>= 10,No,>= 10000
5845,Jeddah,Project,Emerging,NULL,167000,>= 1000,2019/01,Male,< 30,Married,No,< 02,No,< 5000
5846,Riyadh,Social,Family,Government retired,30000,< 1000,2019/01,Male,>= 40,Married,No,>= 10,No,< 5000
5847,Riyadh,Social,Family,Government retired,60000,>= 1000,2019/01,Male,>= 60,Married,No,>= 05,No,>= 5000
5848,Riyadh,Social,Family,Government retired,60000,>= 1000,2019/01,Male,>= 60,Married,No,>= 05,No,>= 5000
5849,Riyadh,Social,Family,Government retired,60000,< 1000,2019/01,Male,>= 40,Married,No,>= 05,No,>= 10000
5850,Riyadh,Social,Family,Government retired,30000,< 1000,2019/01,Male,>= 40,Married,No,>= 10,No,>= 7500
5851,Riyadh,Social,Family,Government employee,60000,< 1000,2019/01,Male,>= 30,Married,No,>= 05,No,>= 7500
5852,Riyadh,Transfer,Taxi cab,Private sector employee,87335,>= 1000,2019/03,Male,>= 30,Married,No,>= 05,No,< 5000
5853,Riyadh,Transfer,Taxi cab,Private sector employee,87335,>= 1000,2019/03,Male,>= 30,Married,No,>= 05,No,>= 10000
5854,Al Qunfudhah,Social,Family,NULL,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 05,No,< 5000
5855,Al Qunfudhah,Social,Family,NULL,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 05,No,< 5000
5856,Jeddah,Social,Marriage,Government employee,36000,< 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 10000
5857,Abha,Social,Family,NULL,60000,< 1000,2019/01,Male,>= 30,Married,No,>= 05,No,< 5000
5858,Abha,Social,Family,NULL,60000,< 1000,2019/01,Male,>= 30,Married,No,>= 05,No,>= 7500
5859,Abha,Social,Family,Government employee,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 02,No,>= 7500
5860,Al Qunfudhah,Social,Family,NULL,60000,>= 1000,2019/02,Female,>= 30,Divorced,No,>= 02,No,>= 10000
5861,Abha,Social,Family,Government employee,60000,>= 1000,2019/02,Male,>= 40,Married,No,>= 05,No,>= 5000
5862,Riyadh,Social,Family,Government employee,60000,< 1000,2019/03,Male,>= 30,Married,No,>= 05,No,>= 7500
5863,Al Qunfudhah,Social,Family,NULL,60000,>= 1000,2019/02,Female,>= 30,Divorced,No,>= 02,No,< 5000
5864,Duwadimi,Social,Marriage,Government employee,60000,< 1000,2019/03,Male,< 30,Married,No,>= 02,Yes,>= 5000
5865,Buraydah,Transfer,Taxi cab,Private sector employee,77360,>= 1000,2019/03,Male,>= 40,Married,No,< 02,No,>= 10000
5866,Buraydah,Transfer,Taxi cab,Private sector employee,77360,>= 1000,2019/03,Male,>= 40,Married,No,< 02,No,< 5000
5867,Duwadimi,Social,Marriage,Government employee,60000,< 1000,2019/01,Male,< 30,Married,No,>= 02,No,>= 7500
5868,Abha,Social,Family,Government employee,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 05,No,>= 7500
5869,Abha,Social,Family,Government employee,30000,< 1000,2019/02,Male,>= 30,Married,No,>= 05,No,>= 7500
5870,Abha,Project,Emerging,NULL,243000,>= 1000,2019/02,Male,>= 40,Married,No,< 02,No,< 5000
5871,Duwadimi,Social,Family,Government employee,60000,>= 1000,2019/01,Male,>= 60,Married,No,>= 05,No,>= 5000
5872,Duwadimi,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,< 30,Married,No,>= 02,No,< 5000
5873,Abha,Social,Family,Private sector employee,60000,>= 1000,2019/01,Male,>= 40,Married,No,>= 05,No,>= 10000
5874,Abha,Social,Family,Private sector employee,60000,>= 1000,2019/01,Male,>= 40,Married,No,>= 05,No,>= 5000
5875,Abha,Social,Family,NULL,60000,>= 1000,2019/02,Female,>= 60,Widow,No,>= 05,No,>= 10000
5876,Abha,Social,Family,NULL,60000,>= 1000,2019/02,Female,>= 60,Widow,No,>= 05,No,< 5000
5877,Abha,Social,Family,NULL,60000,< 1000,2019/01,Male,>= 60,Divorced,No,>= 05,No,>= 10000
5878,Abha,Social,Family,NULL,60000,< 1000,2019/01,Male,>= 60,Divorced,No,>= 05,No,< 5000
5879,Duwadimi,Project,Emerging,NULL,157000,>= 1000,2019/02,Male,>= 40,Single,No,< 02,No,
5880,Abha,Social,Family,Private sector employee,36000,< 1000,2019/01,Male,>= 40,Married,No,>= 05,No,< 5000
5881,Abha,Social,Family,Private sector employee,36000,< 1000,2019/01,Male,>= 40,Married,No,>= 05,No,>= 10000
5882,Buraydah,Social,Marriage,NULL,48000,< 1000,2019/01,Male,>= 30,Married,No,>= 02,No,< 5000
5883,Buraydah,Social,Marriage,NULL,48000,< 1000,2019/01,Male,>= 30,Married,No,>= 02,No,>= 7500
5884,Buraydah,Social,Family,Government employee,60000,>= 1000,2019/02,Male,>= 40,Married,No,>= 05,No,< 5000
5885,Abha,Social,Family,Government employee,60000,>= 1000,2019/01,Male,>= 30,Married,No,>= 05,No,>= 7500
5886,Abha,Social,Family,Government employee,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 05,No,>= 7500
5887,Abha,Social,Family,Retired of insurance,48000,< 1000,2019/02,Male,>= 40,Married,No,>= 05,No,< 5000
5888,Abha,Social,Family,Retired of insurance,48000,< 1000,2019/02,Male,>= 40,Married,No,>= 05,No,>= 10000
5889,Abha,Social,Family,Government retired,60000,>= 1000,2019/01,Male,>= 40,Married,No,>= 05,No,>= 7500
5890,Abha,Social,Family,Government retired,60000,>= 1000,2019/01,Male,>= 40,Married,No,>= 05,No,>= 7500
5891,Riyadh,Social,Family,Government retired,60000,>= 1000,2019/02,Male,>= 40,Married,No,>= 05,No,>= 10000
5892,Riyadh,Social,Family,Government retired,60000,>= 1000,2019/02,Male,>= 40,Married,No,>= 05,No,>= 5000
5893,Riyadh,Transfer,Taxi cab,Government retired,60980,>= 1000,2019/03,Male,>= 40,Married,No,< 02,No,>= 10000
5894,Riyadh,Transfer,Taxi cab,Government retired,60980,>= 1000,2019/03,Male,>= 40,Married,No,< 02,No,>= 7500
5895,Abha,Social,Renovation,Government retired,60000,>= 1000,2019/02,Male,>= 40,Married,No,>= 02,No,>= 7500
5896,Abha,Social,Renovation,Government retired,60000,>= 1000,2019/02,Male,>= 40,Married,No,>= 02,No,>= 7500
5897,Abha,Social,Family,NULL,60000,>= 1000,2019/03,Male,>= 30,Married,No,>= 05,No,>= 7500
5898,Abha,Social,Family,NULL,60000,>= 1000,2019/03,Male,>= 30,Married,No,>= 05,No,< 5000
5899,Duwadimi,Social,Marriage,Government employee,54000,< 1000,2019/02,Male,>= 30,Married,No,>= 02,No,>= 10000
5900,Duwadimi,Social,Family,Government retired,60000,>= 1000,2019/02,Male,>= 40,Married,No,>= 02,No,>= 10000
5901,Abha,Social,Family,NULL,60000,< 1000,2019/02,Male,>= 30,Married,No,>= 02,No,< 5000
5902,Abha,Social,Family,NULL,60000,< 1000,2019/02,Male,>= 30,Married,No,>= 02,No,>= 10000
5903,Duwadimi,Social,Family,Government retired,60000,>= 1000,2019/02,Male,>= 40,Married,No,>= 02,No,< 5000
5904,Abha,Social,Family,Government employee,60000,< 1000,2019/01,Male,>= 40,Married,No,>= 05,No,>= 7500
5905,Abha,Project,Solution,NULL,187000,>= 1000,2019/01,Male,>= 30,Married,No,< 02,No,< 5000
5906,Riyadh,Social,Family,Government employee,60000,>= 1000,2019/02,Male,>= 60,Married,No,>= 05,No,>= 10000
5907,Abha,Social,Family,Private sector employee,60000,>= 1000,2019/02,Male,>= 40,Married,No,>= 05,No,>= 10000
5908,Abha,Social,Family,Private sector employee,60000,>= 1000,2019/02,Male,>= 40,Married,No,>= 05,No,>= 7500
5909,Abha,Social,Family,Private sector employee,42000,< 1000,2019/01,Male,>= 30,Married,No,>= 02,No,>= 7500
5910,Abha,Social,Family,Private sector employee,42000,< 1000,2019/01,Male,>= 30,Married,No,>= 02,No,< 5000
5911,Buraydah,Social,Marriage,Government employee,60000,>= 1000,2019/02,Male,>= 30,Married,No,>= 02,No,>= 7500
5912,Duwadimi,Social,Family,Government employee,42000,< 1000,2019/01,Male,>= 30,Married,No,>= 02,No,>= 5000
5913,Riyadh,Project,Emerging,NULL,186000,>= 1000,2019/01,Male,>= 40,Married,No,< 02,No,< 5000
